names,scores,logfoldchanges,pvals,pvals_adj,log2fc,actual_fold_change,combined_rank
CALCOCO2,9.115298,0.8362862,7.845462694594683e-20,8.381984415904928e-19,1.2065059,2.3077805,7.622998
NR3C1,7.1045485,1.0602394,1.2071664608594405e-12,8.064750623955087e-12,1.5296022,2.8870618,7.532522
PTPN7,12.093466,0.6082231,1.1435863305300309e-33,2.3149741332559046e-32,0.87748045,1.837164,7.355525
SERPINB1,8.96021,0.8166987,3.240611440884756e-19,3.334320841786774e-18,1.1782471,2.2630165,7.3177915
VAV1,6.421401,1.1291934,1.3502594422304898e-10,7.475014060929175e-10,1.6290817,3.0931606,7.2510037
HLA-C,8.577648,0.8392627,9.68324852550983e-18,8.989838889717574e-17,1.2108002,2.3146598,7.1989
SDSL,6.8226953,1.0336884,8.934811792320159e-12,5.5342388686019884e-11,1.4912971,2.8114164,7.0525413
AC020571.3,6.8276052,1.0289235,8.634387019287544e-12,5.356370503439746e-11,1.4844228,2.7980523,7.0250835
MAD1L1,8.936493,0.77225703,4.0171798898885653e-19,4.096813380130043e-18,1.1141313,2.1646464,6.9012694
WSB1,9.736337,0.706063,2.1102428442699805e-22,2.5785826706760412e-21,1.0186336,2.0259993,6.874467
HSD17B11,9.465607,0.7249903,2.9186054614555788e-21,3.3724715754187e-20,1.0459399,2.064711,6.862473
TPP1,8.048674,0.8492224,8.369607509140859e-16,6.912200393796597e-15,1.225169,2.3378282,6.835114
PAQR8,7.48558,0.90513265,7.123186464167345e-14,5.136962238489253e-13,1.3058304,2.47226,6.775443
UNC13D,8.786139,0.76504713,1.5478925889927377e-18,1.5154337504599203e-17,1.1037297,2.1490958,6.72181
MGAT4A,5.9738746,1.120528,2.316838569846711e-09,1.150160118540374e-08,1.6165801,3.0664728,6.6938934
SDCCAG8,8.436103,0.79278797,3.2809517686700454e-17,2.947747211963065e-16,1.1437513,2.2095482,6.6880407
ABHD2,7.2379427,0.91771483,4.555415143176442e-13,3.1260907486351848e-12,1.3239826,2.503563,6.6423674
BCL2L11,8.1553335,0.81189114,3.4821865130523457e-16,2.929752131867062e-15,1.1713113,2.2521632,6.621243
DNAJC3-AS1,7.0432205,0.929579,1.878463515075432e-12,1.227536392497109e-11,1.341099,2.5334425,6.5472302
DENND4A,6.3861685,1.0207462,1.7009363926344073e-10,9.32053137266493e-10,1.4726255,2.7752647,6.518657
PIK3CD,6.539896,0.99466807,6.156165177401899e-11,3.53651110511203e-10,1.4350027,2.7038267,6.505026
TPT1-AS1,7.015222,0.9253545,2.295843360963184e-12,1.4930375866746888e-11,1.3350043,2.5227625,6.491567
RNF213,7.027093,0.9226347,2.1088091611276226e-12,1.3747257138359812e-11,1.3310806,2.5159104,6.48344
IRF1,5.946919,1.0843506,2.732363164943035e-09,1.3457551879801866e-08,1.5643872,2.9575183,6.448545
FCGRT,8.404621,0.7669903,4.2924543293186185e-17,3.805724875730679e-16,1.106533,2.1532757,6.446263
RNF130,9.731143,0.66213965,2.22084156237485e-22,2.7055410707845646e-21,0.9552656,1.9389365,6.4433756
PPP1R18,11.880906,0.5418574,1.4874673489835232e-32,2.8469843075213076e-31,0.781735,1.7191972,6.437757
TMEM164,7.955425,0.8059563,1.7851820107008114e-15,1.427615356478263e-14,1.1627492,2.2388365,6.4117246
MMD,6.563026,0.97622836,5.272662577777695e-11,3.039778418323372e-10,1.4083998,2.6544256,6.407012
ACAP2,8.837005,0.72266775,9.831940823131588e-19,9.720022769698143e-18,1.0425892,2.0599213,6.386218
ETV6,5.8846707,1.0825785,3.988467813123437e-09,1.934826097693574e-08,1.5618306,2.9522824,6.3706183
NINJ1,6.448186,0.9820905,1.1319687770127702e-10,6.309808013755794e-10,1.416857,2.670032,6.332702
CLU,11.729,0.5385386,9.052123423327688e-32,1.6822871058939034e-30,0.7769469,1.7135009,6.316519
SKAP2,8.1771965,0.7709041,2.905229446964006e-16,2.454554209532247e-15,1.1121795,2.1617198,6.3038344
NCOA4,9.194905,0.68094194,3.7532475102081e-20,4.0855768382683053e-19,0.98239154,1.9757379,6.2611966
LINC00467,8.614621,0.7257501,7.017311354001981e-18,6.605923520544755e-17,1.047036,2.0662806,6.252062
CEP19,6.086911,1.0269214,1.1510971556848976e-09,5.873285992714414e-09,1.4815344,2.792456,6.250779
TMEM243,6.661876,0.9354022,2.7035344923078157e-11,1.5950656022184243e-10,1.3495002,2.548238,6.2315335
HPS3,6.445116,0.96515185,1.1551206999436243e-10,6.429986142966681e-10,1.3924198,2.6251862,6.2205157
SPN,11.741899,0.5216471,7.772149001556264e-32,1.45651154258863e-30,0.75257766,1.6848004,6.1251273
ORAI2,7.986341,0.76691014,1.3900273262310665e-15,1.1250921765625095e-14,1.1064174,2.153103,6.124806
P4HB,12.00453,0.5068754,3.363687985660662e-33,6.658948004946364e-32,0.7312666,1.660096,6.0848007
TXNIP,7.693106,0.7904078,1.4360498102795455e-14,1.0870641347355097e-13,1.1403173,2.2042952,6.080691
DOK3,5.501033,1.1038638,3.775731688571574e-08,1.6413662458876534e-07,1.5925388,3.015796,6.072391
MT1F,9.209467,0.6560535,3.2774797154666925e-20,3.57249712035418e-19,0.9464851,1.9271717,6.041903
PSMD5-AS1,9.644097,0.62474585,5.206739637977772e-22,6.221129594074921e-21,0.9013177,1.8677711,6.02511
STK4,8.4149885,0.7064605,3.929339730387184e-17,3.5030107066597447e-16,1.019207,2.0268047,5.9448566
SOS2,5.3495736,1.1081814,8.816169624342558e-08,3.659208738736631e-07,1.5987678,3.0288448,5.9282975
G6PD,6.5381136,0.90435493,6.229951345826725e-11,3.576355154246088e-10,1.3047084,2.470338,5.912775
TAOK3,11.234858,0.5257165,2.7493788995084466e-29,4.6360612466241595e-28,0.75844854,1.6916704,5.9063497
SAT2,6.8551946,0.86023504,7.1215406998826885e-12,4.452065343107777e-11,1.2410568,2.3637161,5.8970785
AC009506.1,5.4942164,1.0701481,3.924492552271482e-08,1.703284596705898e-07,1.5438974,2.915811,5.8796253
ZEB2,8.028958,0.7297711,9.830404784091113e-16,8.060931922954713e-15,1.0528371,2.0746057,5.8593016
GDE1,7.610279,0.7690933,2.7350488067996335e-14,2.0322897159632603e-13,1.109567,2.1578088,5.8530145
USP20,10.028297,0.5793982,1.144731740902609e-23,1.4769965289569286e-22,0.83589494,1.784964,5.8103776
ETV1,5.27735,1.0987357,1.3106544339132873e-07,5.317004451390065e-07,1.5851406,3.0003703,5.798413
AP1S2,7.9918065,0.72476417,1.329757396477987e-15,1.0816163636810373e-14,1.0456136,2.0642443,5.792175
NBPF14,6.6637745,0.86211216,2.6688314782198905e-11,1.575742094267694e-10,1.243765,2.3681574,5.744921
MKL1,5.743742,0.9975977,9.260686725823368e-09,4.3211188148166003e-08,1.4392292,2.7117596,5.7299438
CTSS,7.0103197,0.81161016,2.377741588205662e-12,1.545053805948281e-11,1.170906,2.2515304,5.6896467
VIM-AS1,5.2603016,1.0753057,1.4381935403140206e-07,5.802342270287885e-07,1.5513382,2.9308887,5.656432
C6orf1,8.170012,0.68931115,3.083572432351741e-16,2.602509355914839e-15,0.99446577,1.9923427,5.6316805
ARHGEF2,7.5234127,0.74651414,5.336463322395639e-14,3.8831184013504123e-13,1.0769923,2.1096334,5.616334
FAM89A,10.681756,0.5219107,1.2390518297659627e-26,1.8329343642893188e-25,0.752958,1.6852444,5.574923
AGO4,5.6586213,0.9784171,1.525940442923932e-08,6.979060564833861e-08,1.4115574,2.6602418,5.536492
CH17-340M24.3,5.183547,1.0679567,2.1770552011678335e-07,8.636579007776321e-07,1.5407358,2.9094284,5.535804
TM7SF3,6.6589236,0.8307113,2.7584009157345308e-11,1.626248481488161e-10,1.1984631,2.2949507,5.531643
GIT2,6.44976,0.8542495,1.1202740792458266e-10,6.257575199217525e-10,1.2324215,2.3496103,5.509704
DMXL1,6.1202965,0.88966984,9.340154897724143e-10,4.805123000568019e-09,1.2835222,2.4343257,5.445043
MAP4K2,5.7744412,0.9399732,7.720883407148266e-09,3.636243456532743e-08,1.3560946,2.5599127,5.4278197
RGS19,7.585461,0.714647,3.313069892654024e-14,2.4438050705905524e-13,1.0310177,2.0434651,5.420927
GIPR,5.4788074,0.98923886,4.282024772569351e-08,1.848525605988383e-07,1.42717,2.689187,5.4198494
KRCC1,5.321284,1.0183067,1.0303758114528256e-07,4.2460946066859555e-07,1.4691061,2.7685032,5.4186993
PPM1N,7.900627,0.6813033,2.7750370554603906e-15,2.186729199702788e-14,0.9829129,1.9764521,5.3827233
SSH2,7.1668115,0.7485433,7.676473021731794e-13,5.20595067980921e-12,1.0799197,2.1139183,5.364669
IDH2,10.478484,0.508059,1.0846870716460557e-25,1.5424326545220408e-24,0.73297423,1.6620619,5.3236885
NOTCH2,5.0535674,1.0458729,4.3363355849741564e-07,1.6443465971754114e-06,1.5088757,2.8458812,5.2853894
CTD-3193K9.4,5.7923665,0.9111383,6.940157969070341e-09,3.285794602355284e-08,1.3144947,2.487152,5.277647
OS9,7.310926,0.7205589,2.6530750182951594e-13,1.8553148850883122e-12,1.0395467,2.0555818,5.2679524
ERO1A,7.4926515,0.70120305,6.749587814563083e-14,4.880610633681827e-13,1.0116222,2.0161767,5.25387
SH3BGRL,8.582596,0.61024296,9.27555954533238e-18,8.631185996272998e-17,0.8803945,1.8408786,5.2374687
PLAUR,6.4870167,0.79999393,8.755277826745359e-11,4.948661931883994e-10,1.1541473,2.2255273,5.189574
MBNL1,8.890779,0.5824237,6.068227385694812e-19,6.08407227968673e-18,0.8402598,1.7903725,5.1782002
PIM1,7.8689218,0.6572801,3.577114658677973e-15,2.78883736468552e-14,0.9482547,1.9295369,5.172086
DGKZ,8.269591,0.6216626,1.3441845867853475e-16,1.1574604378960823e-15,0.8968696,1.8620212,5.140896
GRN,8.275251,0.61905724,1.2818531105900832e-16,1.1049655895662861e-15,0.8931108,1.8571763,5.122854
DOCK2,7.1522083,0.71357614,8.539295523527506e-13,5.766880430061176e-12,1.0294727,2.0412781,5.1036453
LRP10,6.346262,0.8037463,2.2060954802330333e-10,1.1950793557238237e-09,1.1595608,2.233894,5.1007843
PTPN22,5.5427165,0.91766065,2.9781510800226288e-08,1.314454987614359e-07,1.3239045,2.503427,5.086333
YPEL5,5.9855466,0.8461422,2.15664497069192e-09,1.074597250356486e-08,1.220725,2.3306382,5.0646234
WDFY2,7.2884717,0.6901381,3.1349091017229193e-13,2.1809354706818276e-12,0.9956588,1.9939909,5.030052
SDC2,5.047789,0.9933364,4.4695159377133417e-07,1.693258922556785e-06,1.4330815,2.7002285,5.0141525
KIAA0430,4.9737973,1.0012355,6.565402369504399e-07,2.413689346312564e-06,1.4444774,2.7216423,4.9799423
CD59,8.688727,0.570826,3.665229856307316e-18,3.515921799215463e-17,0.8235278,1.7697282,4.9597516
MYL9,4.626114,1.0671355,3.725903178965041e-06,1.2502750301828266e-05,1.539551,2.90704,4.9366903
IQGAP1,9.295269,0.528549,1.4683440604430964e-20,1.6268607649106845e-19,0.76253504,1.696469,4.9130054
DAZAP2,8.213731,0.5916521,2.1442042981608466e-16,1.824946060721302e-15,0.85357356,1.8069713,4.859671
TP53I11,5.359288,0.90185076,8.355056449475435e-08,3.4731750356362886e-07,1.3010956,2.4641593,4.833278
TNFAIP8L2,5.011665,0.957716,5.396109645016535e-07,2.0131352241477396e-06,1.381692,2.6057382,4.7997518
DDAH2,5.646339,0.8423801,1.639007940009673e-08,7.462382824948212e-08,1.2152976,2.3218865,4.7563634
PSME1,7.586283,0.6255376,3.292128553331067e-14,2.4305779090726717e-13,0.90246,1.8692505,4.7455053
JMJD1C,8.02927,0.59012264,9.805419897715352e-16,8.048615499374685e-15,0.851367,1.8042097,4.738254
IGFBP4,5.429602,0.8713264,5.647974758234203e-08,2.4009837959082976e-07,1.2570583,2.390079,4.7309556
TNFAIP2,6.1947556,0.75923985,5.837561230051561e-10,3.063676546791843e-09,1.0953516,2.1366515,4.7033052
NT5C2,5.415417,0.86384445,6.114590954400128e-08,2.5884460764512495e-07,1.2462641,2.3722632,4.678078
PON2,5.444273,0.83880615,5.2017351300390015e-08,2.2218093413709686e-07,1.2101414,2.3136032,4.5666895
MMP24-AS1,7.081309,0.64289254,1.4279923761264376e-12,9.461767368312744e-12,0.92749786,1.9019744,4.5525208
PDLIM4,4.470736,1.0120592,7.795090697169778e-06,2.487591764561055e-05,1.4600928,2.7512608,4.5246496
CA8,6.644707,0.6733881,3.0382082637269743e-11,1.783401754805434e-10,0.9714937,1.9608698,4.474467
CD302,4.9372654,0.8914715,7.922570528323044e-07,2.8824595566335685e-06,1.2861215,2.4387157,4.4014316
IQGAP2,7.6584234,0.5718862,1.8822938795204934e-14,1.4116330236663902e-13,0.8250573,1.7716055,4.3797464
PVR,5.0030766,0.87212557,5.642248315779016e-07,2.0994706902220172e-06,1.2582113,2.3919897,4.363311
ADPGK,6.728029,0.647871,1.7197682715952323e-11,1.0319887317737512e-10,0.9346803,1.9114671,4.358895
TGIF1,4.9560785,0.8727012,7.193015932192429e-07,2.633635071818597e-06,1.2590418,2.3933673,4.325176
LRCH4,4.7542214,0.89602405,1.992127268157079e-06,6.885071435560432e-06,1.2926894,2.4498434,4.2598968
MANBA,4.8663597,0.87340266,1.136724685177024e-06,4.057147716383041e-06,1.2600536,2.3950465,4.2502913
BAZ2B,6.260109,0.6787315,3.847081488455202e-10,2.0537261852116763e-09,0.97920257,1.9713755,4.2489333
MYLIP,7.4309173,0.5695538,1.0784728685736339e-13,7.695075405891555e-13,0.8216924,1.7674782,4.232307
PLIN3,7.2073193,0.5835182,5.706406130092462e-13,3.89937752222985e-12,0.84183884,1.7923331,4.205602
CCNYL1,4.493632,0.9260577,7.001863017378168e-06,2.254946076210664e-05,1.3360188,2.524537,4.161362
MAPK14,6.647104,0.6249511,2.989163371708952e-11,1.7558889129667786e-10,0.9016139,1.8681546,4.154115
LINC00685,4.980716,0.8335995,6.334931399084966e-07,2.3353227463158125e-06,1.2026299,2.3015885,4.1519227
ECH1,5.608607,0.73691267,2.0396178089147776e-08,9.203348068494223e-08,1.0631403,2.0894747,4.1330533
AKAP13,5.7500334,0.7180373,8.922580522762508e-09,4.168171363930178e-08,1.0359088,2.0504048,4.1287384
IDS,4.098914,0.9998161,4.1509335813605824e-05,0.00011809471833973028,1.4424298,2.7177818,4.0981603
EDEM3,5.7202606,0.71401244,1.063609259032804e-08,4.9315568227370594e-08,1.0301023,2.042169,4.084337
LINC00649,5.367955,0.75733286,7.963434690418188e-08,3.3240652193544035e-07,1.0926003,2.1325808,4.065329
NUCB2,6.0941014,0.65797514,1.100540245951784e-09,5.633120130895158e-09,0.9492575,1.9308786,4.009767
TM9SF2,7.6451683,0.52346927,2.0867220912476715e-14,1.5577129695940334e-13,0.7552065,1.6878731,4.002011
WAC-AS1,5.332259,0.74703115,9.69983088475203e-08,4.0074441972451224e-07,1.0777382,2.1107242,3.9833636
PSEN1,5.018785,0.78541225,5.199929417756841e-07,1.9453371888477072e-06,1.1331104,2.193311,3.9418151
RNF24,7.821092,0.5034916,5.236708861040572e-15,4.043680446522438e-14,0.7263848,1.6544878,3.937854
DOK2,5.898195,0.665531,3.6749968571857263e-09,1.7881294949089827e-08,0.9601582,1.9455231,3.9254313
TM7SF2,5.4739313,0.7170356,4.4015945773769164e-08,1.8981142232500456e-07,1.0344636,2.0483522,3.9250035
SGK1,4.3753867,0.8963404,1.212173656369168e-05,3.7497995490209766e-05,1.2931459,2.4506185,3.921836
CCDC159,3.8737957,1.0089772,0.00010715318948161838,0.00028329830161801363,1.4556464,2.7427943,3.9085715
CAT,4.3661695,0.888615,1.2644442316957014e-05,3.899547941735846e-05,1.2820004,2.4317594,3.8798437
TET2,4.740296,0.8172996,2.1340645649640893e-06,7.359880226821071e-06,1.1791141,2.2643769,3.874242
PLEKHO1,6.028645,0.6397312,1.6533986188962912e-09,8.310205752847134e-09,0.9229371,1.8959712,3.8567126
GALM,6.7945156,0.56488997,1.0867719051795454e-11,6.685344004672649e-11,0.81496394,1.7592541,3.8381536
BIN3,5.8194537,0.65835345,5.904032430512872e-09,2.8183729279700042e-08,0.94980323,1.9316093,3.8312573
TSC22D4,6.55579,0.57630837,5.534816099528685e-11,3.186365619094311e-10,0.83143723,1.7794573,3.7781565
LINC00847,4.1394167,0.9090298,3.481901701222861e-05,0.00010029714707837749,1.3114527,2.4819136,3.7628531
CEP350,7.400005,0.50758773,1.3617966244442533e-13,9.665405391595987e-13,0.7322943,1.661279,3.7561517
PDE6G,4.700728,0.7987397,2.5923583040825305e-06,8.838530190829295e-06,1.1523378,2.2227378,3.754658
TMUB2,4.8623905,0.7704432,1.1597662425969321e-06,4.130260997114383e-06,1.1115146,2.1607237,3.7461958
CARD6,4.3624663,0.8520322,1.2860431647308524e-05,3.9646452830271354e-05,1.2292227,2.3444064,3.7169616
AIM1,4.391624,0.8427542,1.125072517458073e-05,3.500466380396323e-05,1.2158372,2.3227556,3.7010596
RNPEP,7.0352626,0.52149004,1.9888576473534016e-12,1.2986259674756205e-11,0.7523511,1.6845359,3.6688194
ADRBK1,6.4488606,0.5621284,1.1269417157508881e-10,6.286124473839727e-10,0.8109799,1.7544026,3.625088
ZNF431,6.5334983,0.5540795,6.425090297752224e-11,3.683140832856261e-10,0.7993677,1.7403382,3.6200774
HIST1H3H,5.6731844,0.6365446,1.4016704019620104e-08,6.425250758596572e-08,0.9183397,1.8899391,3.611235
WDR37,4.161124,0.86678356,3.166849636563184e-05,9.200951264216128e-05,1.2505044,2.3792458,3.606794
SUSD1,4.9018326,0.7303923,9.494684142895337e-07,3.4297211011701983e-06,1.0537333,2.0758946,3.5802608
ELF4,4.172667,0.8504582,3.0105453396759993e-05,8.792605024869282e-05,1.2269518,2.3407192,3.5486789
MRAS,5.1582146,0.6860186,2.4931580922558457e-07,9.794376415929215e-07,0.98971564,1.9857935,3.538631
SLC40A1,5.559488,0.6341859,2.7056720387565023e-08,1.2060548044722004e-07,0.91493684,1.8854866,3.5257487
MYADM,4.0703077,0.8644347,4.695112328975357e-05,0.00013245694125439735,1.2471157,2.373664,3.5185153
KLF6,4.75706,0.7381871,1.9643264393437152e-06,6.794802848213785e-06,1.0649788,2.092139,3.5116003
C14orf119,6.652882,0.52479434,2.8740877136277015e-11,1.6907506528019625e-10,0.75711817,1.6901112,3.4913948
FAM45A,5.765729,0.603403,8.130553958337838e-09,3.820272502704754e-08,0.8705265,1.8283299,3.479058
LRG1,4.841153,0.71550333,1.29087965657443e-06,4.575004381812931e-06,1.0322531,2.0452158,3.4638612
PPP2R5A,5.6337914,0.6117864,1.7629033457602998e-08,8.003918113381641e-08,0.8826212,1.843722,3.4466772
DST,5.351498,0.6400894,8.722901408253122e-08,3.6223585950879417e-07,0.9234538,1.8966504,3.4254372
KLF13,4.475066,0.76087373,7.638756943942495e-06,2.4405949302303613e-05,1.0977087,2.1401453,3.4049604
FUZ,3.7355173,0.9109439,0.000187329809581326,0.00047297995373190687,1.3142142,2.4866686,3.4028468
LNPEP,5.056575,0.6727315,4.2685307112134256e-07,1.620156135078517e-06,0.9705464,1.9595827,3.4017172
CD46,5.527217,0.61408466,3.253502670843228e-08,1.4305139397060836e-07,0.8859369,1.8479642,3.394179
ZDHHC14,4.1277466,0.82179385,3.6633517665284994e-05,0.00010518625033149908,1.1855979,2.2745762,3.3921568
LAMP2,4.398795,0.77093506,1.088535710728104e-05,3.3893997438515404e-05,1.1122242,2.1617868,3.3911853
PTPRJ,4.211788,0.8015935,2.5335729910450187e-05,7.504095727418634e-05,1.1564549,2.22909,3.376142
PGM2L1,4.332991,0.7779079,1.4709719303891545e-05,4.500394046118637e-05,1.1222839,2.1769133,3.3706682
GABBR1,3.8568456,0.8710368,0.00011485960079883715,0.0003017059306712146,1.2566406,2.3893871,3.3594546
WAS,5.5741706,0.6000243,2.4871215826940615e-08,1.1135319683235866e-07,0.8656521,1.8221631,3.3446376
DNAJC4,6.027454,0.55454874,1.6656289997991461e-09,8.366471039413995e-09,0.8000447,1.741155,3.342517
RBL2,4.2358027,0.7856886,2.277369623369e-05,6.785066192530954e-05,1.133509,2.193917,3.3280218
RP11-792A8.4,4.855013,0.67968535,1.2037889023927472e-06,4.27760799147656e-06,0.98057866,1.9732567,3.2998812
ARL6IP5,6.1352515,0.5345696,8.502466197353916e-10,4.385339685570088e-09,0.7712209,1.7067136,3.279719
CD58,4.706442,0.6944131,2.5207774574735545e-06,8.609014597891713e-06,1.0018264,2.0025337,3.268215
CREB3L2,5.185391,0.6281241,2.1556227716446146e-07,8.555756818955062e-07,0.9061915,1.8740917,3.257069
FAM117A,5.318273,0.6105164,1.0475683491114181e-07,4.3081515049760303e-07,0.88078904,1.841382,3.2468932
SGK3,4.5826397,0.7063701,4.591432589050955e-06,1.5261317292907228e-05,1.0190767,2.0266213,3.2370398
RP11-841O20.2,4.14928,0.7798563,3.3352251105341146e-05,9.641593850316408e-05,1.1250949,2.1811588,3.2358422
CBL,5.3405676,0.60107106,9.265600904124389e-08,3.8368476020516426e-07,0.8671622,1.8240715,3.2100606
ATG7,4.0610094,0.78888685,4.8861001277572156e-05,0.000137365230532179,1.1381232,2.2009451,3.203677
SHOC2,5.970028,0.53629404,2.3721278059996203e-09,1.1761618348102475e-08,0.77370876,1.7096591,3.2016904
TMX4,5.289933,0.6014967,1.223610989345127e-07,4.98894798634053e-07,0.8677763,1.8248479,3.1818774
MPP1,4.5480404,0.698754,5.414779376931581e-06,1.7807480874379633e-05,1.008089,2.0112453,3.1779616
ZDHHC19,4.033071,0.78651524,5.505262188614216e-05,0.00015343686230999664,1.1347016,2.1957314,3.172072
PJA2,5.3317957,0.5906567,9.72462998532999e-08,4.0156358073369287e-07,0.8521375,1.8051735,3.1492608
TANK,4.8328633,0.65129197,1.3458323409288488e-06,4.750999920315696e-06,0.93961567,1.9180171,3.1476052
DOK1,5.031459,0.62429714,4.867618170050298e-07,1.8337570876630718e-06,0.9006704,1.8669332,3.1411254
RABGAP1L,3.9233077,0.79514056,8.734148333494504e-05,0.00023468302092360317,1.1471454,2.2147522,3.119581
VPS13C,4.948947,0.62910724,7.461613760070339e-07,2.7233372950785412e-06,0.9076099,1.875935,3.1134183
RAB5B,4.8547373,0.63614297,1.2054647239333007e-06,4.281679232721754e-06,0.9177603,1.8891803,3.088307
USP32,4.4222007,0.69449323,9.770054013120897e-06,3.062193491035215e-05,1.0019419,2.002694,3.0711884
SLC27A2,4.4089017,0.6952604,1.0389611702756532e-05,3.2400345066858884e-05,1.0030488,2.004231,3.0653348
GALNS,3.8616426,0.7871594,0.00011262725503720847,0.00029660591422743163,1.135631,2.1971464,3.0397282
RICTOR,5.4435663,0.5579287,5.222424440670389e-08,2.2294673471086012e-07,0.8049209,1.74705,3.0371218
GPRC5C,4.7601714,0.6329022,1.9342853929947206e-06,6.708124997517543e-06,0.91308486,1.8830677,3.012723
HTT,5.008529,0.59667176,5.484751790039348e-07,2.0443165762873932e-06,0.8608154,1.8160644,2.988448
DOCK11,3.8003135,0.78393793,0.00014451309450313205,0.00037184844354947355,1.1309834,2.1900797,2.97921
IL13RA1,4.5708027,0.65143937,4.8585906237105555e-06,1.6096323407592352e-05,0.93982834,1.9183002,2.9776008
ADD3,4.431076,0.6690436,9.376401845523043e-06,2.9491120602137705e-05,0.9652259,1.9523692,2.9645832
HMGCL,3.6628792,0.8078085,0.00024939612530054553,0.00061601605628517,1.1654214,2.2429872,2.958905
IRF2,3.7411273,0.78455514,0.00018319667634476567,0.0004635587577809124,1.1318738,2.191432,2.9351206
RASGRP4,3.6392038,0.805267,0.00027348222450339414,0.0006707913535724004,1.1617547,2.2372937,2.9305305
ZFHX3,4.4881806,0.64719194,7.1833939912155144e-06,2.3060521966235177e-05,0.9337006,1.9101694,2.9047143
RP11-474G23.3,3.7675512,0.76440924,0.00016485676045212207,0.00042031188578654983,1.1028094,2.1477253,2.879951
STARD10,3.7173674,0.7630563,0.0002013095762550829,0.0005057472620256002,1.1008575,2.1448214,2.8365605
C10orf11,4.4712415,0.63431984,7.77668918671268e-06,2.4827003383825424e-05,0.9151301,1.885739,2.8361971
TCAIM,4.4624515,0.62566006,8.102733134612326e-06,2.574578108901013e-05,0.90263665,1.8694795,2.7919776
RNF149,4.374618,0.63616186,1.2164540193114257e-05,3.7615999670667634e-05,0.91778755,1.889216,2.7829652
PYROXD2,4.4569902,0.6220864,8.31183452217814e-06,2.6358338215796167e-05,0.89748096,1.8628105,2.772633
ALS2,3.6075048,0.76765716,0.0003091557373111761,0.0007501845324726107,1.1074952,2.1547122,2.769327
APAF1,3.704909,0.74200404,0.0002114666277202655,0.000529125140054704,1.0704856,2.10014,2.7490575
MMP15,3.927225,0.69778275,8.593154885423111e-05,0.00023143351787116527,1.0066878,2.0092928,2.74035
LINC00869,4.386583,0.62457216,1.151452299449708e-05,3.574281407630781e-05,0.90106714,1.8674469,2.7397375
ZNF213-AS1,3.7050338,0.73635703,0.0002113625728042481,0.0005290286645614849,1.0623386,2.088314,2.7282276
RP11-1000B6.3,3.8346102,0.7023125,0.00012576351554142992,0.0003276748112993966,1.0132228,2.018415,2.6930947
SWSAP1,3.9371576,0.6692874,8.24524391442502e-05,0.00022258300500271018,0.9655776,1.9528452,2.6350899
TTLL3,4.7001987,0.5580251,2.5990860006792436e-06,8.857728956745254e-06,0.8050601,1.7472186,2.622829
PPCS,4.6181846,0.5646419,3.871120908110453e-06,1.2957747026443486e-05,0.8146061,1.7588178,2.6076205
DPYSL2,4.9884,0.52066296,6.088138590392129e-07,2.2536157376075726e-06,0.7511579,1.683143,2.597275
STAC3,4.885712,0.53158695,1.0305564658446988e-06,3.6978252219580776e-06,0.7669178,1.7016305,2.5971808
AC006262.5,4.520744,0.5731371,6.162276109428678e-06,2.0053466613962705e-05,0.82686204,1.7738229,2.591006
DENND2D,3.7183769,0.6893331,0.00020050704828910234,0.000503887812392993,0.9944974,1.9923863,2.5632002
LITAF,3.9618597,0.6453495,7.436825708162676e-05,0.00020224660351794588,0.93104255,1.9066534,2.5567842
TCTA,3.762077,0.6791659,0.00016850804868456378,0.0004290792904240926,0.97982925,1.9722321,2.5550745
HIST2H2BE,3.525342,0.72397345,0.00042293639660513096,0.0010026584312825485,1.0444729,2.0626128,2.552254
MSRB2,4.869388,0.5239287,1.1194444081411925e-06,3.9972380568330734e-06,0.7558693,1.6886488,2.551212
ZNF277,3.7801924,0.67483425,0.00015670718424439105,0.00040118032556004643,0.97358,1.9637073,2.5510032
ACTN1,4.9456944,0.5146154,7.587296580257524e-07,2.7654600396543334e-06,0.74243313,1.672995,2.5451305
XK,4.136115,0.6105702,3.532347669015258e-05,0.00010164151094633503,0.8808666,1.8414811,2.5253885
ERCC5,3.4776502,0.7248531,0.0005058296769232112,0.0011777621697560148,1.0457419,2.0644279,2.5207856
PIAS1,4.7104087,0.5341837,2.472206811312585e-06,8.464609756240673e-06,0.77066416,1.706055,2.5162234
OSTF1,4.4168797,0.5647324,1.001360053582042e-05,3.132449710605017e-05,0.8147366,1.7589769,2.494355
STK17B,4.218827,0.59116906,2.455766174912668e-05,7.287003451421608e-05,0.85287666,1.8060986,2.4940398
SH3BP2,3.8811772,0.641936,0.00010395207113586862,0.0002755565732078802,0.9261179,1.9001561,2.4914675
XRCC6BP1,4.758723,0.519512,1.9482167556584984e-06,6.753539371439352e-06,0.74949735,1.681207,2.4722135
NFKBIE,3.8646653,0.6276085,0.00011124160727689242,0.00029324362336013705,0.90544766,1.8731256,2.4254966
CLIP1,4.1883073,0.57670087,2.8104271951523357e-05,8.257482886593457e-05,0.8320035,1.7801557,2.4154005
ZNF117,3.6392846,0.6636029,0.00027339653266381786,0.0006707848706943064,0.9573766,1.9417757,2.4150398
